landing@320 | PASS | 320<=320
setup@320 | PASS | 320<=320
match@320 | PASS | 320<=320
chat@320 | PASS | 320<=320
swap@320 | PASS | 320<=320
report@320 | PASS | 320<=320
settings@320 | PASS | 320<=320
home@320 | PASS | 320<=320
landing@375 | PASS | 375<=375
setup@375 | PASS | 375<=375
match@375 | PASS | 375<=375
chat@375 | PASS | 375<=375
swap@375 | PASS | 375<=375
report@375 | PASS | 375<=375
settings@375 | PASS | 375<=375
home@375 | PASS | 375<=375
landing@390 | PASS | 390<=390
setup@390 | PASS | 390<=390
match@390 | PASS | 390<=390
chat@390 | PASS | 390<=390
swap@390 | PASS | 390<=390
report@390 | PASS | 390<=390
settings@390 | PASS | 390<=390
home@390 | PASS | 390<=390
landing@768 | PASS | 768<=768
setup@768 | PASS | 768<=768
match@768 | PASS | 768<=768
chat@768 | PASS | 768<=768
swap@768 | PASS | 768<=768
report@768 | PASS | 768<=768
settings@768 | PASS | 768<=768
home@768 | PASS | 768<=768
landing@834 | PASS | 834<=834
setup@834 | PASS | 834<=834
match@834 | PASS | 834<=834
chat@834 | PASS | 834<=834
swap@834 | PASS | 834<=834
report@834 | PASS | 834<=834
settings@834 | PASS | 834<=834
home@834 | PASS | 834<=834
landing@1024 | PASS | 1024<=1024
setup@1024 | PASS | 1024<=1024
match@1024 | PASS | 1024<=1024
chat@1024 | PASS | 1024<=1024
swap@1024 | PASS | 1024<=1024
report@1024 | PASS | 1024<=1024
settings@1024 | PASS | 1024<=1024
home@1024 | PASS | 1024<=1024
landing@1280 | PASS | 1280<=1280
setup@1280 | PASS | 1280<=1280
match@1280 | PASS | 1280<=1280
chat@1280 | PASS | 1280<=1280
swap@1280 | PASS | 1280<=1280
report@1280 | PASS | 1280<=1280
settings@1280 | PASS | 1280<=1280
home@1280 | PASS | 1280<=1280
landing@1440 | PASS | 1440<=1440
setup@1440 | PASS | 1440<=1440
match@1440 | PASS | 1440<=1440
chat@1440 | PASS | 1440<=1440
swap@1440 | PASS | 1440<=1440
report@1440 | PASS | 1440<=1440
settings@1440 | PASS | 1440<=1440
home@1440 | PASS | 1440<=1440
landing@1920 | PASS | 1920<=1920
setup@1920 | PASS | 1920<=1920
match@1920 | PASS | 1920<=1920
chat@1920 | PASS | 1920<=1920
swap@1920 | PASS | 1920<=1920
report@1920 | PASS | 1920<=1920
settings@1920 | PASS | 1920<=1920
home@1920 | PASS | 1920<=1920
